,order_number,Rec 1,Rec 2,Rec 3,Rec 4,Rec 5,Score 1,Score 2,Score 3,Score 4,Score 5
65,161828,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
66,164343,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
67,164448,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
68,164589,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
69,165320,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
70,167630,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
71,167889,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
72,169000,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
73,169701,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
74,170075,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
75,170286,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
76,171228,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
77,171688,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
78,173454,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
79,173984,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
80,176975,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
81,177676,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
82,177999,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
83,178852,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
84,180959,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
85,180970,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
86,183902,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
87,183983,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
88,184417,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
89,184518,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
90,184616,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
91,185990,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
92,186628,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
93,186808,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
94,187342,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
95,188480,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
96,188666,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
97,188952,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
98,192716,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
99,192766,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
100,193026,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
101,193742,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
102,195157,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
103,195615,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
104,196693,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
105,198343,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
106,204455,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
107,205288,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
108,206587,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
109,207035,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
110,207147,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
111,208847,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
112,210339,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
113,211200,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
114,213972,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
115,215060,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
116,215460,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
117,219063,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
118,220171,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
119,221144,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
120,222670,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
121,224219,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
122,224511,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
123,224763,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
124,226529,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
125,227580,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
126,228223,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
127,231178,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
128,231608,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
129,232509,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
130,233027,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
131,234449,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
132,234843,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
133,235326,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
134,235716,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
135,236048,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
136,237619,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
137,239495,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
138,239607,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
139,239684,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
140,240580,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
141,243138,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
142,243202,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
143,243223,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
144,243308,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
145,243319,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
146,243426,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
147,244351,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
148,244354,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
149,246144,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
150,246332,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
151,248727,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
152,252341,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
153,253311,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
154,257385,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
155,258067,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
156,258237,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
157,258840,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
158,261337,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
159,261917,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
160,264141,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
161,267943,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
162,268394,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
163,269353,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
164,273311,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
165,275889,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
166,276259,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
167,276473,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
168,277176,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
169,278415,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
170,278839,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
171,280341,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
172,280436,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
173,280786,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
174,280983,12 Volt Accessories,3-Ring Binders,3.3 Inch Diameter Motors,5 X 20mm Glass and Ceramic Fuses,A/C Refrigeration Accessories,,,,,
